2025-11-10 10:40:27 | INFO     | ai_agent.logging               | setup_logging       :124  | Logging configured - Level: DEBUG, Console: True, File: True
2025-11-10 10:40:27 | INFO     | ai_agent.logging               | setup_logging       :125  | Log file: logs\ai_agent_20251110.log
2025-11-10 10:40:27 | INFO     | ai_agent.app.services.db       | <module>            :22   | Initializing MongoDB connection to database: AI_agent_db
2025-11-10 10:40:27 | INFO     | ai_agent.app.services.db       | <module>            :28   | MongoDB client initialized successfully
2025-11-10 10:40:28 | DEBUG    | urllib3.connectionpool         | _new_conn           :1049 | Starting new HTTPS connection (1): packages.unstructured.io:443
2025-11-10 10:40:30 | DEBUG    | urllib3.connectionpool         | _make_request       :544  | https://packages.unstructured.io:443 "GET /python-telemetry?version=0.18.15&platform=Windows&python3.13&arch=AMD64&gpu=True&dev=false HTTP/1.1" 200 596
2025-11-10 10:40:32 | INFO     | ai_agent.logging               | setup_logging       :124  | Logging configured - Level: DEBUG, Console: True, File: True
2025-11-10 10:40:32 | INFO     | ai_agent.logging               | setup_logging       :125  | Log file: logs\ai_agent_20251110.log
2025-11-10 10:40:32 | INFO     | ai_agent.app.main              | <module>            :81   | AI Agent API initialized successfully
2025-11-10 10:40:32 | INFO     | uvicorn.error                  | _serve              :84   | Started server process [15432]
2025-11-10 10:40:32 | INFO     | uvicorn.error                  | startup             :48   | Waiting for application startup.
2025-11-10 10:40:32 | INFO     | ai_agent.app.main              | lifespan            :23   | AI Agent API starting up...
2025-11-10 10:40:32 | INFO     | ai_agent.app.main              | lifespan            :24   | Initializing database indexes...
2025-11-10 10:40:32 | INFO     | ai_agent.app.services.db       | init_indexes        :43   | Starting database index initialization
2025-11-10 10:40:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting topology monitoring", "topologyId": {"$oid": "6911c11b7f48546c0fa88c6d"}}
2025-11-10 10:40:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Topology description changed", "topologyId": {"$oid": "6911c11b7f48546c0fa88c6d"}, "previousDescription": "<TopologyDescription id: 6911c11b7f48546c0fa88c6d, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 6911c11b7f48546c0fa88c6d, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
2025-11-10 10:40:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "6911c11b7f48546c0fa88c6d"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017}
2025-11-10 10:40:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "6911c11b7f48546c0fa88c6d"}, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017}
2025-11-10 10:40:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "6911c11b7f48546c0fa88c6d"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017}
2025-11-10 10:40:33 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "6911c11b7f48546c0fa88c6d"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017}
2025-11-10 10:40:33 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "6911c11b7f48546c0fa88c6d"}, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017}
2025-11-10 10:40:33 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "6911c11b7f48546c0fa88c6d"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017}
2025-11-10 10:40:33 | DEBUG    | pymongo.serverSelection        | _debug_log          :108  | {"message": "Server selection started", "selector": "<function writable_server_selector at 0x0000021E53E7A200>", "operation": "dropIndexes", "topologyDescription": "<TopologyDescription id: 6911c11b7f48546c0fa88c6d, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "6911c11b7f48546c0fa88c6d"}}
